Label,eccentricity,area,perimeter,euler_number,orientation,solidity
0,0.513551,464,  378.592929,-62,-0.601717,0.487907
1,0.72683,513,417.291414,-73,0.40566,	0.313378
2,0.715429,666,546.410209,-91,0.336828,0.347962
3,0.555321,478,378.25588,-77,0.484871,0.495337
4,0.532746,400,333.350288,-59,-0.931561,0.492611
5,0.707413,650,526.404112,-90,-0.226364,0.339248
6,0.375562,502,409.184812,-65,-0.486223,0.511723
7,0.733604,391,311.900541,-48,-0.739051,0.449942
8,0.501490,504,422.362482,-79,-0.515420,0.506533
9,0.412998,513,407.184812,-94,-0.762679,0.533819
A,0.53474,421,345.800036,-65,-0.163041,0.475169
B,0.311337,548,450.469083,-98,0.505347,0.545817
C,0.451847,435,369.107648,0,-0.924518,0.423564
D,0.337772,404,348.586832,1,1.421204,0.396857
E,0.432305,427,383.551299,1,0.595682,0.42152
F,0.554118,357,303.586832,0,-0.957299, 0.400673`
G,0.411385,466,385.83557,-2,-0.910816,0.453749
H,0.658436,384,310.072114,-41,1.47809,0.376471
I,0.5360931,26.656854,0,-0.978207,0.574074
J,1.0,2,0.0,1,1.570796,1.0
K,0.580904,438, 348.326948,-1,0.884412,0.384886
L,0.806393,327,268.63961,-30,0.622417, 0.416031
M,0.643992,423, 327.977705,70,-1.25922,0.475816
N,0.424104,492,395.705627,-70,1.147524,0.481409
O,0.450179,411,366.764502,-50,-0.79581,0.420676
P,0.72002,444,337.521861,-56,-0.842548,0.491694
Q,0.339091,464,402.149278,-51,0.267784,0.453125
R,0.501753,439,349.350288,-56,-1.532469,0.435084
S,0,1,0,1,0.785398,1
T,0.71064,230,205.675144,-15,0.299212,0.331412
U,1,2,0,1,0.785398,1
V,1,2,0,1,1.570796,1
W,0.414493,495,377.220346,-87,1.36657,0.506653
X,0.985171,4,2.414214,1,-1.178097,0.666667
Y,0.383764,317,253.580736,-38,0.635529,0.414379
Z,1,2,0,1,0.785398,1
